iter	Passed	Remaining
0	2	1754
1	3	1666
2	110	30921
3	115	24150
4	117	19642
5	226	31495
6	242	28809
7	345	35844
8	394	36352
9	495	41049
10	596	44887
11	696	47967
12	698	44377
13	795	46901
14	895	49196
15	994	51160
16	1009	48798
17	1013	46214
18	1022	44111
19	1037	42470
20	1052	40990
21	1073	39880
22	1080	38317
23	1091	37051
24	1147	37352
25	1252	39179
26	1255	37751
27	1352	39178
28	1365	38151
29	1467	39582
30	1476	38481
31	1483	37413
32	1487	36327
33	1492	35326
34	1499	34436
35	1507	33614
36	1519	32946
37	1533	32315
38	1547	31735
39	1549	30946
40	1557	30318
41	1561	29632
42	1569	29052
43	1571	28401
44	1585	27978
45	1589	27401
46	1614	27210
47	1618	26674
48	1622	26153
49	1625	25648
50	1630	25190
51	1634	24737
52	1637	24290
53	1639	23837
54	1647	23481
55	1660	23215
56	1664	22834
57	1667	22457
58	1675	22146
59	1688	21918
60	1696	21633
61	1698	21285
62	1799	22169
63	1804	21845
64	1808	21530
65	1810	21202
66	1910	22012
67	1936	21960
68	1939	21641
69	1945	21375
70	1953	21132
71	1957	20851
72	2054	21556
73	2058	21279
74	2065	21045
75	2091	20996
76	2193	21710
77	2198	21448
78	2199	21164
79	2206	20934
80	2220	20782
81	2224	20535
82	2231	20329
83	2235	20095
84	2332	20693
85	2359	20659
86	2362	20424
87	2369	20224
88	2472	20836
89	2480	20646
90	2484	20423
91	2536	20591
92	2537	20355
93	2541	20144
94	2567	20111
95	2664	20622
96	2678	20487
97	2682	20280
98	2686	20080
99	2690	19882
100	2791	20400
101	2799	20225
102	2806	20051
103	2854	20171
104	2957	20674
105	2960	20470
106	2964	20281
107	2971	20111
108	2975	19927
109	3074	20372
110	3104	20363
111	3205	20807
112	3209	20621
113	3314	21078
114	3328	20957
115	3431	21389
116	3534	21812
117	3539	21624
118	3542	21435
119	3556	21311
120	3564	21148
121	3614	21241
122	3641	21195
123	3741	21576
124	3837	21918
125	3888	22001
126	3938	22078
127	3945	21914
128	3970	21854
129	3973	21668
130	3974	21479
131	3981	21326
132	3988	21173
133	3992	21006
134	4090	21332
135	4098	21184
136	4113	21077
137	4117	20913
138	4124	20770
139	4131	20628
140	4139	20491
141	4143	20336
142	4146	20181
143	4148	20022
144	4178	19999
145	4180	19844
146	4189	19720
147	4289	20026
148	4293	19881
149	4300	19753
150	4399	20047
151	4414	19952
152	4418	19811
153	4425	19683
154	4523	19960
155	4531	19841
156	4533	19694
157	4547	19600
158	4551	19463
159	4554	19326
160	4561	19207
161	4611	19272
162	4616	19144
163	4713	19400
164	4721	19284
165	4728	19171
166	4753	19128
167	4767	19042
168	4771	18917
169	4820	18970
170	4834	18884
171	4837	18760
172	4844	18650
173	4851	18540
174	4859	18436
175	4862	18316
176	4866	18199
177	4880	18122
178	4979	18359
179	4987	18261
180	5089	18503
181	5189	18733
182	5288	18957
183	5303	18877
184	5317	18796
185	5331	18716
186	5428	18928
187	5478	18969
188	5485	18864
189	5575	19045
190	5576	18920
191	5602	18878
192	5604	18758
193	5608	18647
194	5610	18530
195	5660	18570
196	5687	18534
197	5691	18425
198	5697	18324
199	5795	18517
200	5803	18420
201	5810	18322
202	5817	18225
203	5918	18421
204	5926	18327
205	6029	18526
206	6037	18433
207	6063	18393
208	6089	18356
209	6093	18252
210	6101	18159
211	6114	18085
212	6122	17992
213	6124	17886
214	6222	18059
215	6237	17989
216	6338	18167
217	6440	18345
218	6466	18307
219	6473	18214
220	6481	18123
221	6481	18015
222	6530	18039
223	6629	18202
224	6633	18102
225	6641	18013
226	6738	18166
227	6836	18319
228	6850	18247
229	6854	18150
230	6868	18077
231	6967	18229
232	6975	18143
233	6978	18042
234	6992	17972
235	7001	17888
236	7100	18036
237	7104	17941
238	7132	17905
239	7136	17810
240	7161	17768
241	7208	17783
242	7215	17698
243	7219	17605
244	7220	17506
245	7228	17424
246	7234	17340
247	7237	17246
248	7264	17212
249	7268	17125
250	7283	17061
251	7297	16997
252	7322	16961
253	7336	16897
254	7343	16817
255	7351	16741
256	7399	16756
